Label_Lexi,Region_Lexi,Label_Delin,Net_Delin,Label_Yeo,ROI_Yeo,R,A,S,Label_ggseg,region_ggseg,ROI_Data,,,,,Label_Lab
36,Schaefer2018_17Networks_LH_SomMotA_13,3,SomMotA,37,17Networks_LH_SomMotA_13,-20,-24,66,lh_17Networks_LH_SomMotA_13,SomMotA_13,X17Networks_LH_SomMotA_13,,,,37,Schaefer2018_17Networks_LH_SomMotA_13
37,Schaefer2018_17Networks_LH_SomMotA_14,3,SomMotA,38,17Networks_LH_SomMotA_14,-8,-42,70,lh_17Networks_LH_SomMotA_14,SomMotA_14,X17Networks_LH_SomMotA_14,,,,38,Schaefer2018_17Networks_LH_SomMotA_14
38,Schaefer2018_17Networks_LH_SomMotA_15,3,SomMotA,39,17Networks_LH_SomMotA_15,-4,-26,68,lh_17Networks_LH_SomMotA_15,SomMotA_15,X17Networks_LH_SomMotA_15,,,,39,Schaefer2018_17Networks_LH_SomMotA_15
39,Schaefer2018_17Networks_LH_SomMotA_16,3,SomMotA,40,17Networks_LH_SomMotA_16,-14,-12,72,lh_17Networks_LH_SomMotA_16,SomMotA_16,X17Networks_LH_SomMotA_16,,,,40,Schaefer2018_17Networks_LH_SomMotA_16
40,Schaefer2018_17Networks_LH_SomMotA_17,3,SomMotA,41,17Networks_LH_SomMotA_17,-18,-32,68,lh_17Networks_LH_SomMotA_17,SomMotA_17,X17Networks_LH_SomMotA_17,,,,41,Schaefer2018_17Networks_LH_SomMotA_17
41,Schaefer2018_17Networks_LH_SomMotA_18,3,SomMotA,42,17Networks_LH_SomMotA_18,-18,-40,72,lh_17Networks_LH_SomMotA_18,SomMotA_18,X17Networks_LH_SomMotA_18,,,,42,Schaefer2018_17Networks_LH_SomMotA_18
42,Schaefer2018_17Networks_LH_SomMotA_19,3,SomMotA,43,17Networks_LH_SomMotA_19,-12,-26,74,lh_17Networks_LH_SomMotA_19,SomMotA_19,X17Networks_LH_SomMotA_19,,,,43,Schaefer2018_17Networks_LH_SomMotA_19
43,Schaefer2018_17Networks_LH_SomMotB_Aud_1,4,SomMotB,44,17Networks_LH_SomMotB_Aud_1,-50,-10,0,lh_17Networks_LH_SomMotB_Aud_1,SomMotB_Aud_1,X17Networks_LH_SomMotB_Aud_1,,,,44,Schaefer2018_17Networks_LH_SomMotB_Aud_1
44,Schaefer2018_17Networks_LH_SomMotB_Aud_2,4,SomMotB,45,17Networks_LH_SomMotB_Aud_2,-56,-22,8,lh_17Networks_LH_SomMotB_Aud_2,SomMotB_Aud_2,X17Networks_LH_SomMotB_Aud_2,,,,45,Schaefer2018_17Networks_LH_SomMotB_Aud_2
45,Schaefer2018_17Networks_LH_SomMotB_Aud_3,4,SomMotB,46,17Networks_LH_SomMotB_Ins_1,-36,-24,10,lh_17Networks_LH_SomMotB_Ins_1,SomMotB_Ins_1,X17Networks_LH_SomMotB_Ins_1,,,,46,Schaefer2018_17Networks_LH_SomMotB_Aud_3
46,Schaefer2018_17Networks_LH_SomMotB_Aud_4,4,SomMotB,47,17Networks_LH_SomMotB_S2_1,-38,-8,12,lh_17Networks_LH_SomMotB_S2_1,SomMotB_S2_1,X17Networks_LH_SomMotB_S2_1,,,,47,Schaefer2018_17Networks_LH_SomMotB_Aud_4
47,Schaefer2018_17Networks_LH_SomMotB_Aud_5,4,SomMotB,48,17Networks_LH_SomMotB_S2_2,-36,-26,18,lh_17Networks_LH_SomMotB_S2_2,SomMotB_S2_2,X17Networks_LH_SomMotB_S2_2,,,,48,Schaefer2018_17Networks_LH_SomMotB_Aud_5
48,Schaefer2018_17Networks_LH_SomMotB_Aud_6,4,SomMotB,49,17Networks_LH_SomMotB_Aud_3,-58,-36,16,lh_17Networks_LH_SomMotB_Aud_3,SomMotB_Aud_3,X17Networks_LH_SomMotB_Aud_3,,,,49,Schaefer2018_17Networks_LH_SomMotB_Aud_6
49,Schaefer2018_17Networks_LH_SomMotB_Aud_7,4,SomMotB,50,17Networks_LH_SomMotB_Aud_4,-40,-36,14,lh_17Networks_LH_SomMotB_Aud_4,SomMotB_Aud_4,X17Networks_LH_SomMotB_Aud_4,,,,50,Schaefer2018_17Networks_LH_SomMotB_Aud_7
50,Schaefer2018_17Networks_LH_SomMotB_Aud_8,4,SomMotB,51,17Networks_LH_SomMotB_S2_3,-48,-12,14,lh_17Networks_LH_SomMotB_S2_3,SomMotB_S2_3,X17Networks_LH_SomMotB_S2_3,,,,51,Schaefer2018_17Networks_LH_SomMotB_Aud_8
51,Schaefer2018_17Networks_LH_SomMotB_Aud_9,4,SomMotB,52,17Networks_LH_SomMotB_S2_4,-60,-2,10,lh_17Networks_LH_SomMotB_S2_4,SomMotB_S2_4,X17Networks_LH_SomMotB_S2_4,,,,52,Schaefer2018_17Networks_LH_SomMotB_Aud_9
52,Schaefer2018_17Networks_LH_SomMotB_Aud_10,4,SomMotB,53,17Networks_LH_SomMotB_S2_5,-48,-24,18,lh_17Networks_LH_SomMotB_S2_5,SomMotB_S2_5,X17Networks_LH_SomMotB_S2_5,,,,53,Schaefer2018_17Networks_LH_SomMotB_Aud_10
53,Schaefer2018_17Networks_LH_SomMotB_Aud_11,4,SomMotB,54,17Networks_LH_SomMotB_S2_6,-62,-18,20,lh_17Networks_LH_SomMotB_S2_6,SomMotB_S2_6,X17Networks_LH_SomMotB_S2_6,,,,54,Schaefer2018_17Networks_LH_SomMotB_Aud_11
54,Schaefer2018_17Networks_LH_SomMotB_Aud_12,4,SomMotB,55,17Networks_LH_SomMotB_Cent_1,-60,-2,24,lh_17Networks_LH_SomMotB_Cent_1,SomMotB_Cent_1,X17Networks_LH_SomMotB_Cent_1,,,,55,Schaefer2018_17Networks_LH_SomMotB_Aud_12
55,Schaefer2018_17Networks_LH_SomMotB_Aud_13,4,SomMotB,56,17Networks_LH_SomMotB_Cent_2,-62,-10,32,lh_17Networks_LH_SomMotB_Cent_2,SomMotB_Cent_2,X17Networks_LH_SomMotB_Cent_2,,,,56,Schaefer2018_17Networks_LH_SomMotB_Aud_13
